loss,val_loss
45433928.0,99209424.0
45179696.0,114173320.0
44116524.0,106092320.0
45694908.0,123100040.0
58084628.0,96023504.0
53218188.0,119251480.0
50285488.0,124310960.0
50025356.0,167126928.0
53077064.0,66511836.0
45499096.0,100750408.0
46318220.0,96043080.0
46199556.0,101436224.0
44330900.0,106232568.0
43608784.0,128587456.0
44850656.0,86761016.0
42955932.0,81127544.0
46143568.0,119177752.0
44538548.0,80713480.0
44001220.0,105096640.0
67125584.0,255761568.0
87319272.0,108902008.0
65778280.0,537777728.0
128325888.0,183023104.0
173335680.0,276313024.0
148638688.0,147352128.0
104470688.0,186045824.0
117666144.0,121199200.0
119581040.0,132869584.0
84179728.0,139166080.0
87167912.0,150576176.0
77159328.0,95184120.0
73287320.0,133859272.0
58787996.0,141458416.0
59849676.0,105277424.0
58493104.0,139964960.0
66077028.0,127093040.0
61520176.0,175375456.0
70353104.0,204593856.0
67089464.0,131574632.0
67695936.0,135962800.0
58537600.0,100630712.0
63103424.0,130108600.0
59191308.0,129306392.0
55108472.0,142274080.0
68118784.0,133908424.0
57048908.0,139208080.0
58148660.0,114206272.0
59426560.0,101293576.0
55043128.0,133703928.0
61232432.0,196093888.0
60610208.0,136809984.0
57512668.0,110549176.0
55728000.0,96978776.0
66479892.0,179810592.0
63385172.0,112587688.0
57692060.0,126235304.0
56968672.0,108129024.0
53701584.0,164143632.0
53017868.0,108888832.0
50931084.0,139265312.0
51093624.0,137534368.0
49533972.0,120555744.0
49350892.0,157183552.0
56018716.0,114331848.0
55618848.0,99747472.0
58092876.0,98568120.0
58638828.0,144869888.0
55309448.0,110402880.0
53592472.0,137993360.0
52071072.0,139333824.0
50837096.0,162229632.0
49150160.0,104344200.0
74108832.0,112949728.0
71026872.0,131945144.0
58889836.0,121820456.0
58437496.0,101169856.0
66375600.0,107706360.0
71653096.0,227966672.0
72914608.0,131607128.0
63866936.0,152655168.0
86617696.0,80898056.0
91115560.0,714719872.0
108655912.0,97521448.0
72780880.0,115244616.0
73303288.0,116173240.0
73374704.0,121538472.0
71697016.0,162264016.0
66654064.0,127629496.0
59990964.0,116768440.0
66033484.0,146919808.0
68307904.0,115885296.0
63407564.0,122658720.0
56100100.0,126864008.0
54093376.0,120432240.0
54411920.0,134677392.0
61610420.0,120243488.0
65789652.0,114902104.0
72733976.0,117164608.0
66308068.0,103598496.0
63415928.0,170607984.0
58894456.0,148755968.0
67419576.0,112046920.0
80684480.0,130279704.0
54605736.0,144566912.0
51916644.0,118057552.0
47805316.0,114321616.0
46322848.0,110297888.0
46550364.0,99884024.0
45158176.0,107748728.0
45038648.0,98495616.0
44352024.0,107616456.0
43751344.0,108876272.0
43072148.0,108845328.0
42960820.0,109442344.0
42224636.0,107544808.0
45899116.0,114876656.0
45494780.0,93078064.0
44424916.0,77109232.0
44870316.0,86573696.0
44275408.0,74305808.0
51452080.0,80470112.0
42821392.0,90826576.0
42354644.0,87303072.0
41603348.0,85240584.0
40938904.0,79033536.0
40333716.0,77603328.0
39420484.0,83469688.0
39442512.0,76893744.0
38725956.0,73555456.0
40596824.0,80962952.0
40328936.0,74871896.0
41487952.0,61613428.0
40297552.0,60580616.0
